# word	frequency
haus	200000
arbeit	199950
bericht	199900
projekt	199850
projekte	199800
bau	199750
inspektion	199700
wartung	199650
struktur	199600
strukturen	199550
beton	199500
stahl	199450
holz	199400
mauer	199350
mauern	199300
fundament	199250
fundamente	199200
boden	199150
geotechnik	199100
hang	199050
hänge	199000
füllung	198950
aushub	198900
entwässerung	198850
wasser	198800
rohr	198750
rohre	198700
eisenbahn	198650
bahn	198600
linie	198550
linien	198500
station	198450
stationen	198400
plattform	198350
gleis	198300
gleise	198250
schwelle	198200
schwellen	198150
schotter	198100
brücke	198050
brücken	198000
tunnel	197950
straße	197900
straßen	197850
zugang	197800
gebäude	197750
dach	197700
dächer	197650
böden	197600
decke	197550
decken	197500
tür	197450
türen	197400
fenster	197350
zeichnung	197300
zeichnungen	197250
plan	197200
pläne	197150
berechnung	197100
berechnungen	197050
entwurf	197000
widerstand	196950
kraft	196900
kräfte	196850
moment	196800
momente	196750
last	196700
lasten	196650
stütze	196600
stützen	196550
säule	196500
säulen	196450
balken	196400
platte	196350
platten	196300
bewehrung	196250
sicherheit	196200
qualität	196150
material	196100
materialien	196050
ausrüstung	196000
werkzeug	195950
werkzeuge	195900
fehler	195850
budget	195800
preis	195750
preise	195700
kosten	195650
wert	195600
werte	195550
dokument	195500
dokumente	195450
datei	195400
dateien	195350
unterschrift	195300
digital	195250
anwendung	195200
anwendungen	195150
tastatur	195100
tastaturen	195050
wörterbuch	195000
wörterbücher	194950
korrektur	194900
korrekturwort	194850
wort	194800
wörter	194750
satz	194700
sätze	194650
text	194600
texte	194550
sprache	194500
sprachen	194450
deutsch	194400
portugiesisch	194350
englisch	194300
italienisch	194250
spanisch	194200
französisch	194150
heute	194100
morgen	194050
gestern	194000
vormittag	193950
nachmittag	193900
abend	193850
nacht	193800
woche	193750
monat	193700
jahr	193650
besprechung	193600
nachricht	193550
nachrichten	193500
senden	193450
empfangen	193400
prüfen	193350
korrigieren	193300
verbessern	193250
speichern	193200
öffnen	193150
schließen	193100
bearbeiten	193050
auswählen	193000
wählen	192950
aktivieren	192900
deaktivieren	192850
schnell	192800
effizient	192750
intelligent	192700
automatisch	192650
persönlich	192600
privat	192550
technisch	192500
technik	192450
ingenieur	192400
ingenieurwesen	192350
bauingenieurwesen	192300
architektur	192250
elektrisch	192200
hydraulisch	192150
küche	192100
familie	192050
schule	192000
studium	191950
prüfung	191900
test	191850
lehrer	191800
schüler	191750
firma	191700
kunde	191650
lieferant	191600
vertrag	191550
rechnung	191500
zahlung	191450
konto	191400
bank	191350
telefon	191300
computer	191250
tablet	191200
internet	191150
email	191100
adresse	191050
datum	191000
uhr	190950
minute	190900
sekunde	190850
erste	190800
montag	190750
dienstag	190700
mittwoch	190650
donnerstag	190600
freitag	190550
samstag	190500
sonntag	190450
januar	190400
februar	190350
märz	190300
april	190250
mai	190200
juni	190150
juli	190100
august	190050
september	190000
oktober	189950
november	189900
dezember	189850
nord	189800
süd	189750
ost	189700
west	189650
links	189600
rechts	189550
oben	189500
unten	189450
innen	189400
außen	189350
groß	189300
klein	189250
größer	189200
kleiner	189150
besser	189100
schlechter	189050
neu	189000
alt	188950
richtig	188900
falsch	188850
wichtig	188800
dringend	188750
verfügbar	188700
möglich	188650
notwendig	188600
danke	188550
bitte	188500
hallo	188450
guten	188400
tag	188350
herr	188300
frau	188250
information	188200
informationen	188150
status	188100
fertig	188050
ausstehend	188000
geplant	187950
abgeschlossen	187900
ort	187850
foto	187800
fotos	187750
messung	187700
messungen	187650
menge	187600
mengen	187550
einheit	187500
einheiten	187450
länge	187400
breite	187350
höhe	187300
fläche	187250
volumen	187200
gewicht	187150
kilometer	187100
meter	187050
zentimeter	187000
millimeter	186950
tonne	186900
tonnen	186850
ab	50000
aber	49999
ach	49998
acht	49997
achte	49996
achten	49995
achter	49994
achtes	49993
ag	49992
alle	49991
allein	49990
allem	49989
allen	49988
aller	49987
allerdings	49986
alles	49985
allgemeinen	49984
als	49983
also	49982
am	49981
an	49980
andere	49979
anderem	49978
anderen	49977
andern	49976
anders	49975
auch	49974
auf	49973
aus	49972
ausser	49971
ausserdem	49970
außer	49969
außerdem	49968
bald	49967
bei	49966
beide	49965
beiden	49964
beim	49963
beispiel	49962
bekannt	49961
bereits	49960
besonders	49959
besten	49958
bin	49957
bis	49956
bisher	49955
bist	49954
da	49953
dabei	49952
dadurch	49951
dafür	49950
dagegen	49949
daher	49948
dahin	49947
dahinter	49946
damals	49945
damit	49944
danach	49943
daneben	49942
dank	49941
dann	49940
daran	49939
darauf	49938
daraus	49937
darf	49936
darfst	49935
darin	49934
darum	49933
darunter	49932
darüber	49931
das	49930
dasein	49929
daselbst	49928
dass	49927
dasselbe	49926
davon	49925
davor	49924
dazu	49923
dazwischen	49922
daß	49921
dein	49920
deine	49919
deinem	49918
deiner	49917
dem	49916
dementsprechend	49915
demgegenüber	49914
demgemäss	49913
demgemäß	49912
demselben	49911
demzufolge	49910
den	49909
denen	49908
denn	49907
denselben	49906
der	49905
deren	49904
derjenige	49903
derjenigen	49902
dermassen	49901
dermaßen	49900
derselbe	49899
derselben	49898
des	49897
deshalb	49896
desselben	49895
dessen	49894
deswegen	49893
dich	49892
die	49891
diejenige	49890
diejenigen	49889
dies	49888
diese	49887
dieselbe	49886
dieselben	49885
diesem	49884
diesen	49883
dieser	49882
dieses	49881
dir	49880
doch	49879
dort	49878
drei	49877
drin	49876
dritte	49875
dritten	49874
dritter	49873
drittes	49872
du	49871
durch	49870
durchaus	49869
durfte	49868
durften	49867
dürfen	49866
dürft	49865
eben	49864
ebenso	49863
ehrlich	49862
eigen	49861
eigene	49860
eigenen	49859
eigener	49858
eigenes	49857
ein	49856
einander	49855
eine	49854
einem	49853
einen	49852
einer	49851
eines	49850
einige	49849
einigen	49848
einiger	49847
einiges	49846
einmal	49845
einmaleins	49844
elf	49843
en	49842
ende	49841
endlich	49840
entweder	49839
er	49838
erst	49837
ersten	49836
erster	49835
erstes	49834
es	49833
etwa	49832
etwas	49831
euch	49830
früher	49829
fünf	49828
fünfte	49827
fünften	49826
fünfter	49825
fünftes	49824
für	49823
gab	49822
ganz	49821
ganze	49820
ganzen	49819
ganzer	49818
ganzes	49817
gar	49816
gedurft	49815
gegen	49814
gegenüber	49813
gehabt	49812
gehen	49811
geht	49810
gekannt	49809
gekonnt	49808
gemacht	49807
gemocht	49806
gemusst	49805
genug	49804
gerade	49803
gern	49802
gesagt	49801
geschweige	49800
gewesen	49799
gewollt	49798
geworden	49797
gibt	49796
ging	49795
gleich	49794
gross	49793
grosse	49792
grossen	49791
grosser	49790
grosses	49789
große	49788
großen	49787
großer	49786
großes	49785
gut	49784
gute	49783
guter	49782
gutes	49781
habe	49780
haben	49779
habt	49778
hast	49777
hat	49776
hatte	49775
hatten	49774
heisst	49773
heißt	49772
her	49771
hier	49770
hin	49769
hinter	49768
hoch	49767
hätte	49766
hätten	49765
ich	49764
ihm	49763
ihn	49762
ihnen	49761
ihr	49760
ihre	49759
ihrem	49758
ihren	49757
ihrer	49756
ihres	49755
im	49754
immer	49753
in	49752
indem	49751
infolgedessen	49750
ins	49749
irgend	49748
ist	49747
ja	49746
jahre	49745
jahren	49744
je	49743
jede	49742
jedem	49741
jeden	49740
jeder	49739
jedermann	49738
jedermanns	49737
jedoch	49736
jemand	49735
jemandem	49734
jemanden	49733
jene	49732
jenem	49731
jenen	49730
jener	49729
jenes	49728
jetzt	49727
kam	49726
kann	49725
kannst	49724
kaum	49723
kein	49722
keine	49721
keinem	49720
keinen	49719
keiner	49718
kleine	49717
kleinen	49716
kleines	49715
kommen	49714
kommt	49713
konnte	49712
konnten	49711
kurz	49710
können	49709
könnt	49708
könnte	49707
lang	49706
lange	49705
leicht	49704
leider	49703
lieber	49702
los	49701
machen	49700
macht	49699
machte	49698
mag	49697
magst	49696
man	49695
manche	49694
manchem	49693
