# word	frequency
house	200000
work	199950
report	199900
project	199850
projects	199800
construction	199750
inspection	199700
maintenance	199650
structure	199600
structures	199550
concrete	199500
steel	199450
timber	199400
wall	199350
walls	199300
foundation	199250
foundations	199200
ground	199150
soil	199100
geotechnical	199050
slope	199000
slopes	198950
fill	198900
excavation	198850
drainage	198800
water	198750
pipe	198700
pipes	198650
railway	198600
rail	198550
line	198500
lines	198450
station	198400
stations	198350
platform	198300
track	198250
tracks	198200
sleeper	198150
sleepers	198100
ballast	198050
bridge	198000
bridges	197950
tunnel	197900
tunnels	197850
road	197800
roads	197750
access	197700
building	197650
buildings	197600
roof	197550
roofs	197500
floor	197450
floors	197400
ceiling	197350
ceilings	197300
door	197250
doors	197200
window	197150
windows	197100
drawing	197050
drawings	197000
plan	196950
plans	196900
calculation	196850
calculations	196800
design	196750
resistance	196700
force	196650
forces	196600
moment	196550
moments	196500
load	196450
loads	196400
support	196350
supports	196300
column	196250
columns	196200
beam	196150
beams	196100
slab	196050
slabs	196000
reinforcement	195950
safety	195900
quality	195850
material	195800
materials	195750
equipment	195700
tool	195650
tools	195600
fault	195550
faults	195500
budget	195450
budgets	195400
price	195350
prices	195300
cost	195250
costs	195200
value	195150
values	195100
document	195050
documents	195000
file	194950
files	194900
signature	194850
digital	194800
application	194750
applications	194700
keyboard	194650
keyboards	194600
dictionary	194550
dictionaries	194500
correction	194450
corrector	194400
word	194350
words	194300
sentence	194250
sentences	194200
text	194150
texts	194100
language	194050
languages	194000
portuguese	193950
english	193900
italian	193850
spanish	193800
french	193750
german	193700
today	193650
tomorrow	193600
yesterday	193550
morning	193500
afternoon	193450
evening	193400
night	193350
week	193300
month	193250
year	193200
meeting	193150
message	193100
messages	193050
send	193000
receive	192950
check	192900
correct	192850
improve	192800
save	192750
open	192700
close	192650
edit	192600
select	192550
choose	192500
enable	192450
disable	192400
fast	192350
responsive	192300
efficient	192250
smart	192200
automatic	192150
personal	192100
private	192050
technical	192000
engineering	191950
civil	191900
architecture	191850
electrical	191800
hydraulic	191750
plumbing	191700
sewer	191650
sanitary	191600
kitchen	191550
family	191500
school	191450
study	191400
exam	191350
test	191300
teacher	191250
student	191200
company	191150
client	191100
supplier	191050
contract	191000
invoice	190950
payment	190900
account	190850
bank	190800
phone	190750
computer	190700
tablet	190650
internet	190600
email	190550
address	190500
date	190450
time	190400
minute	190350
second	190300
first	190250
third	190200
monday	190150
tuesday	190100
wednesday	190050
thursday	190000
friday	189950
saturday	189900
sunday	189850
january	189800
february	189750
march	189700
april	189650
may	189600
june	189550
july	189500
august	189450
september	189400
october	189350
november	189300
december	189250
north	189200
south	189150
east	189100
west	189050
left	189000
right	188950
up	188900
down	188850
inside	188800
outside	188750
big	188700
small	188650
larger	188600
smaller	188550
better	188500
worse	188450
new	188400
old	188350
wrong	188300
important	188250
urgent	188200
available	188150
possible	188100
necessary	188050
thanks	188000
please	187950
hello	187900
good	187850
day	187800
sir	187750
madam	187700
engineer	187650
information	187600
status	187550
finish	187500
finished	187450
pending	187400
planned	187350
completed	187300
location	187250
photo	187200
photos	187150
measurement	187100
measurements	187050
quantity	187000
quantities	186950
unit	186900
units	186850
length	186800
width	186750
height	186700
area	186650
volume	186600
weight	186550
kilometre	186500
kilometres	186450
metre	186400
metres	186350
centimetre	186300
centimetres	186250
millimetre	186200
millimetres	186150
tonne	186100
tonnes	186050
'd	50000
'll	49999
'm	49998
're	49997
's	49996
've	49995
about	49994
above	49993
across	49992
after	49991
afterwards	49990
again	49989
against	49988
all	49987
almost	49986
alone	49985
along	49984
already	49983
also	49982
although	49981
always	49980
am	49979
among	49978
amongst	49977
amount	49976
an	49975
and	49974
another	49973
any	49972
anyhow	49971
anyone	49970
anything	49969
anyway	49968
anywhere	49967
are	49966
around	49965
as	49964
at	49963
back	49962
be	49961
became	49960
because	49959
become	49958
becomes	49957
becoming	49956
been	49955
before	49954
beforehand	49953
behind	49952
being	49951
below	49950
beside	49949
besides	49948
between	49947
beyond	49946
both	49945
bottom	49944
but	49943
by	49942
ca	49941
call	49940
can	49939
cannot	49938
could	49937
did	49936
do	49935
does	49934
doing	49933
done	49932
due	49931
during	49930
each	49929
eight	49928
either	49927
eleven	49926
else	49925
elsewhere	49924
empty	49923
enough	49922
even	49921
ever	49920
every	49919
everyone	49918
everything	49917
everywhere	49916
except	49915
few	49914
fifteen	49913
fifty	49912
five	49911
for	49910
former	49909
formerly	49908
forty	49907
four	49906
from	49905
front	49904
full	49903
further	49902
get	49901
give	49900
go	49899
had	49898
has	49897
have	49896
he	49895
hence	49894
her	49893
here	49892
hereafter	49891
hereby	49890
herein	49889
