# word	frequency
casa	200000
trabajo	199950
informe	199900
proyecto	199850
proyectos	199800
construcción	199750
inspección	199700
mantenimiento	199650
estructura	199600
estructuras	199550
hormigón	199500
acero	199450
madera	199400
muro	199350
muros	199300
cimentación	199250
cimentaciones	199200
terreno	199150
suelo	199100
geotecnia	199050
pendiente	199000
pendientes	198950
relleno	198900
excavación	198850
drenaje	198800
agua	198750
tubo	198700
tubos	198650
ferrocarril	198600
ferroviario	198550
línea	198500
líneas	198450
estación	198400
estaciones	198350
plataforma	198300
vía	198250
vías	198200
traviesa	198150
traviesas	198100
balasto	198050
puente	198000
puentes	197950
túnel	197900
túneles	197850
carretera	197800
carreteras	197750
acceso	197700
edificio	197650
edificios	197600
cubierta	197550
cubiertas	197500
suelos	197450
techo	197400
techos	197350
puerta	197300
puertas	197250
ventana	197200
ventanas	197150
dibujo	197100
dibujos	197050
plano	197000
planos	196950
cálculo	196900
cálculos	196850
diseño	196800
resistencia	196750
esfuerzo	196700
esfuerzos	196650
momento	196600
momentos	196550
carga	196500
cargas	196450
apoyo	196400
apoyos	196350
columna	196300
columnas	196250
viga	196200
vigas	196150
losa	196100
losas	196050
armadura	196000
seguridad	195950
calidad	195900
material	195850
materiales	195800
equipo	195750
equipos	195700
herramienta	195650
herramientas	195600
avería	195550
averías	195500
presupuesto	195450
presupuestos	195400
precio	195350
precios	195300
coste	195250
costes	195200
valor	195150
valores	195100
documento	195050
documentos	195000
archivo	194950
archivos	194900
firma	194850
digital	194800
aplicación	194750
aplicaciones	194700
teclado	194650
teclados	194600
diccionario	194550
diccionarios	194500
corrección	194450
corrector	194400
palabra	194350
palabras	194300
frase	194250
frases	194200
texto	194150
textos	194100
idioma	194050
idiomas	194000
español	193950
portugués	193900
inglés	193850
italiano	193800
francés	193750
alemán	193700
hoy	193650
mañana	193600
ayer	193550
tarde	193500
noche	193450
semana	193400
mes	193350
año	193300
reunión	193250
mensaje	193200
mensajes	193150
enviar	193100
recibir	193050
verificar	193000
corregir	192950
mejorar	192900
guardar	192850
abrir	192800
cerrar	192750
editar	192700
seleccionar	192650
elegir	192600
activar	192550
desactivar	192500
rápido	192450
rápida	192400
eficiente	192350
inteligente	192300
automático	192250
automática	192200
personal	192150
privado	192100
privada	192050
técnico	192000
técnica	191950
ingeniería	191900
civil	191850
arquitectura	191800
eléctrica	191750
hidráulica	191700
cocina	191650
familia	191600
escuela	191550
estudio	191500
examen	191450
prueba	191400
profesor	191350
alumno	191300
empresa	191250
cliente	191200
proveedor	191150
contrato	191100
factura	191050
pago	191000
cuenta	190950
banco	190900
teléfono	190850
ordenador	190800
tableta	190750
internet	190700
correo	190650
email	190600
dirección	190550
fecha	190500
hora	190450
minuto	190400
segundo	190350
primero	190300
lunes	190250
martes	190200
miércoles	190150
jueves	190100
viernes	190050
sábado	190000
domingo	189950
enero	189900
febrero	189850
marzo	189800
abril	189750
mayo	189700
junio	189650
julio	189600
agosto	189550
septiembre	189500
octubre	189450
noviembre	189400
diciembre	189350
norte	189300
sur	189250
este	189200
oeste	189150
izquierda	189100
derecha	189050
arriba	189000
abajo	188950
dentro	188900
fuera	188850
grande	188800
pequeño	188750
mayor	188700
menor	188650
mejor	188600
peor	188550
nuevo	188500
viejo	188450
correcto	188400
incorrecto	188350
importante	188300
urgente	188250
disponible	188200
posible	188150
necesario	188100
gracias	188050
porfavor	188000
hola	187950
buenos	187900
buenas	187850
días	187800
tardes	187750
noches	187700
señor	187650
señora	187600
ingeniero	187550
ingeniera	187500
información	187450
estado	187400
terminar	187350
terminado	187300
previsto	187250
completado	187200
ubicación	187150
foto	187100
fotos	187050
medición	187000
mediciones	186950
cantidad	186900
cantidades	186850
unidad	186800
unidades	186750
longitud	186700
anchura	186650
altura	186600
área	186550
volumen	186500
peso	186450
kilómetro	186400
kilómetros	186350
metro	186300
metros	186250
centímetro	186200
centímetros	186150
milímetro	186100
milímetros	186050
tonelada	186000
toneladas	185950
acuerdo	50000
adelante	49999
ademas	49998
además	49997
afirmó	49996
agregó	49995
ahi	49994
ahora	49993
ahí	49992
al	49991
algo	49990
alguna	49989
algunas	49988
alguno	49987
algunos	49986
algún	49985
alli	49984
allí	49983
alrededor	49982
ambos	49981
ante	49980
anterior	49979
antes	49978
apenas	49977
aproximadamente	49976
aquel	49975
aquella	49974
aquellas	49973
aquello	49972
aquellos	49971
aqui	49970
aquél	49969
aquélla	49968
aquéllas	49967
aquéllos	49966
aquí	49965
aseguró	49964
asi	49963
así	49962
atras	49961
aun	49960
aunque	49959
añadió	49958
aún	49957
bajo	49956
bastante	49955
bien	49954
breve	49953
buen	49952
buena	49951
bueno	49950
cada	49949
casi	49948
cierta	49947
ciertas	49946
cierto	49945
ciertos	49944
cinco	49943
claro	49942
comentó	49941
como	49940
con	49939
conmigo	49938
conocer	49937
conseguimos	49936
conseguir	49935
considera	49934
consideró	49933
consigo	49932
consigue	49931
consiguen	49930
consigues	49929
contigo	49928
contra	49927
creo	49926
cual	49925
cuales	49924
cualquier	49923
cuando	49922
cuanta	49921
cuantas	49920
cuanto	49919
cuantos	49918
cuatro	49917
cuál	49916
cuáles	49915
cuándo	49914
cuánta	49913
cuántas	49912
cuánto	49911
cuántos	49910
cómo	49909
da	49908
dado	49907
dan	49906
dar	49905
de	49904
debajo	49903
debe	49902
deben	49901
debido	49900
decir	49899
dejó	49898
del	49897
delante	49896
demasiado	49895
demás	49894
deprisa	49893
desde	49892
despacio	49891
despues	49890
después	49889
detras	49888
detrás	49887
dia	49886
dias	49885
dice	49884
dicen	49883
dicho	49882
dieron	49881
diez	49880
diferente	49879
diferentes	49878
dijeron	49877
dijo	49876
dio	49875
doce	49874
donde	49873
dos	49872
durante	49871
día	49870
dónde	49869
el	49868
ella	49867
ellas	49866
ello	49865
ellos	49864
embargo	49863
en	49862
encima	49861
encuentra	49860
enfrente	49859
enseguida	49858
entonces	49857
entre	49856
era	49855
eramos	49854
eran	49853
eras	49852
eres	49851
es	49850
esa	49849
esas	49848
ese	49847
eso	49846
esos	49845
esta	49844
estaba	49843
estaban	49842
estados	49841
estais	49840
estamos	49839
estan	49838
estar	49837
estará	49836
estas	49835
esto	49834
estos	49833
estoy	49832
estuvo	49831
está	49830
están	49829
excepto	49828
existe	49827
existen	49826
explicó	49825
expresó	49824
fin	49823
final	49822
fue	49821
fueron	49820
fui	49819
fuimos	49818
gran	49817
grandes	49816
ha	49815
haber	49814
habia	49813
habla	49812
hablan	49811
habrá	49810
había	49809
habían	49808
hace	49807
haceis	49806
