# word	frequency
maison	200000
travail	199950
rapport	199900
projet	199850
projets	199800
construction	199750
inspection	199700
maintenance	199650
structure	199600
structures	199550
béton	199500
acier	199450
bois	199400
mur	199350
murs	199300
fondation	199250
fondations	199200
terrain	199150
sol	199100
géotechnique	199050
pente	199000
pentes	198950
remblai	198900
excavation	198850
drainage	198800
eau	198750
tuyau	198700
tuyaux	198650
chemin	198600
fer	198550
ferroviaire	198500
ligne	198450
lignes	198400
gare	198350
gares	198300
plateforme	198250
voie	198200
voies	198150
traverse	198100
traverses	198050
ballast	198000
pont	197950
ponts	197900
tunnel	197850
tunnels	197800
route	197750
routes	197700
accès	197650
bâtiment	197600
bâtiments	197550
toiture	197500
toitures	197450
plancher	197400
planchers	197350
plafond	197300
plafonds	197250
porte	197200
portes	197150
fenêtre	197100
fenêtres	197050
dessin	197000
dessins	196950
plan	196900
plans	196850
calcul	196800
calculs	196750
conception	196700
résistance	196650
effort	196600
efforts	196550
moment	196500
moments	196450
charge	196400
charges	196350
appui	196300
appuis	196250
colonne	196200
colonnes	196150
poutre	196100
poutres	196050
dalle	196000
dalles	195950
armature	195900
sécurité	195850
qualité	195800
matériau	195750
matériaux	195700
équipement	195650
équipements	195600
outil	195550
outils	195500
panne	195450
pannes	195400
budget	195350
budgets	195300
prix	195250
coût	195200
coûts	195150
valeur	195100
valeurs	195050
document	195000
documents	194950
fichier	194900
fichiers	194850
signature	194800
numérique	194750
application	194700
applications	194650
clavier	194600
claviers	194550
dictionnaire	194500
dictionnaires	194450
correction	194400
correcteur	194350
mot	194300
mots	194250
phrase	194200
phrases	194150
texte	194100
textes	194050
langue	194000
langues	193950
français	193900
portugais	193850
anglais	193800
italien	193750
espagnol	193700
allemand	193650
aujourd'hui	193600
demain	193550
hier	193500
matin	193450
après-midi	193400
soir	193350
nuit	193300
semaine	193250
mois	193200
année	193150
réunion	193100
message	193050
messages	193000
envoyer	192950
recevoir	192900
vérifier	192850
corriger	192800
améliorer	192750
enregistrer	192700
ouvrir	192650
fermer	192600
modifier	192550
sélectionner	192500
choisir	192450
activer	192400
désactiver	192350
rapide	192300
efficace	192250
intelligent	192200
automatique	192150
personnel	192100
privé	192050
technique	192000
ingénierie	191950
civil	191900
architecture	191850
électrique	191800
hydraulique	191750
cuisine	191700
famille	191650
école	191600
étude	191550
examen	191500
test	191450
professeur	191400
élève	191350
entreprise	191300
client	191250
fournisseur	191200
contrat	191150
facture	191100
paiement	191050
compte	191000
banque	190950
téléphone	190900
ordinateur	190850
tablette	190800
internet	190750
courriel	190700
email	190650
adresse	190600
date	190550
heure	190500
minute	190450
seconde	190400
premier	190350
lundi	190300
mardi	190250
mercredi	190200
jeudi	190150
vendredi	190100
samedi	190050
dimanche	190000
janvier	189950
février	189900
mars	189850
avril	189800
mai	189750
juin	189700
juillet	189650
août	189600
septembre	189550
octobre	189500
novembre	189450
décembre	189400
nord	189350
sud	189300
est	189250
ouest	189200
gauche	189150
droite	189100
haut	189050
bas	189000
dedans	188950
dehors	188900
grand	188850
petit	188800
plus	188750
