# word	frequency
casa	200000
lavoro	199950
rapporto	199900
progetto	199850
progetti	199800
costruzione	199750
ispezione	199700
manutenzione	199650
struttura	199600
strutture	199550
calcestruzzo	199500
acciaio	199450
legno	199400
muro	199350
muri	199300
fondazione	199250
fondazioni	199200
terreno	199150
suolo	199100
geotecnica	199050
pendio	199000
pendii	198950
scavo	198900
drenaggio	198850
acqua	198800
tubo	198750
tubi	198700
ferrovia	198650
ferroviario	198600
linea	198550
linee	198500
stazione	198450
stazioni	198400
piattaforma	198350
binario	198300
binari	198250
traversina	198200
traversine	198150
massicciata	198100
ponte	198050
ponti	198000
galleria	197950
gallerie	197900
strada	197850
strade	197800
accesso	197750
edificio	197700
edifici	197650
tetto	197600
tetti	197550
pavimento	197500
pavimenti	197450
soffitto	197400
soffitti	197350
porta	197300
porte	197250
finestra	197200
finestre	197150
disegno	197100
disegni	197050
pianta	197000
piante	196950
calcolo	196900
calcoli	196850
resistenza	196800
forza	196750
forze	196700
momento	196650
momenti	196600
carico	196550
carichi	196500
supporto	196450
supporti	196400
colonna	196350
colonne	196300
trave	196250
travi	196200
solaio	196150
solai	196100
armatura	196050
sicurezza	196000
qualità	195950
materiale	195900
materiali	195850
attrezzatura	195800
attrezzature	195750
strumento	195700
strumenti	195650
guasto	195600
guasti	195550
bilancio	195500
prezzo	195450
prezzi	195400
costo	195350
costi	195300
valore	195250
valori	195200
documento	195150
documenti	195100
file	195050
firma	195000
digitale	194950
applicazione	194900
applicazioni	194850
tastiera	194800
tastiere	194750
dizionario	194700
dizionari	194650
correzione	194600
parola	194550
parole	194500
frase	194450
frasi	194400
testo	194350
testi	194300
lingua	194250
lingue	194200
italiano	194150
inglese	194100
portoghese	194050
spagnolo	194000
francese	193950
tedesco	193900
oggi	193850
domani	193800
ieri	193750
mattina	193700
pomeriggio	193650
sera	193600
notte	193550
settimana	193500
mese	193450
anno	193400
riunione	193350
messaggio	193300
messaggi	193250
inviare	193200
ricevere	193150
verificare	193100
correggere	193050
migliorare	193000
salvare	192950
aprire	192900
chiudere	192850
modificare	192800
selezionare	192750
scegliere	192700
attivare	192650
disattivare	192600
veloce	192550
efficiente	192500
intelligente	192450
automatico	192400
personale	192350
privato	192300
tecnico	192250
tecnica	192200
ingegneria	192150
civile	192100
architettura	192050
elettrica	192000
idraulica	191950
cucina	191900
famiglia	191850
scuola	191800
studio	191750
esame	191700
test	191650
insegnante	191600
studente	191550
azienda	191500
cliente	191450
fornitore	191400
contratto	191350
fattura	191300
pagamento	191250
conto	191200
banca	191150
telefono	191100
computer	191050
tablet	191000
internet	190950
email	190900
indirizzo	190850
data	190800
ora	190750
minuto	190700
secondo	190650
primo	190600
lunedì	190550
martedì	190500
mercoledì	190450
giovedì	190400
venerdì	190350
sabato	190300
domenica	190250
gennaio	190200
febbraio	190150
marzo	190100
aprile	190050
maggio	190000
giugno	189950
luglio	189900
agosto	189850
settembre	189800
ottobre	189750
novembre	189700
dicembre	189650
nord	189600
sud	189550
est	189500
ovest	189450
sinistra	189400
destra	189350
alto	189300
basso	189250
dentro	189200
fuori	189150
grande	189100
piccolo	189050
maggiore	189000
minore	188950
migliore	188900
peggiore	188850
nuovo	188800
vecchio	188750
corretto	188700
sbagliato	188650
importante	188600
