# word	frequency
casa	200000
trabalho	199950
relatório	199900
projeto	199850
projetos	199800
obra	199750
obras	199700
inspeção	199650
inspeções	199600
manutenção	199550
estrutura	199500
estruturas	199450
betão	199400
aço	199350
madeira	199300
muro	199250
muros	199200
fundação	199150
fundações	199100
terreno	199050
solo	199000
solos	198950
geotecnia	198900
geotécnico	198850
geotécnica	198800
talude	198750
taludes	198700
aterro	198650
aterros	198600
escavação	198550
escavações	198500
drenagem	198450
drenagens	198400
água	198350
águas	198300
tubo	198250
tubos	198200
tubagem	198150
tubagens	198100
ferrovia	198050
ferroviário	198000
ferroviária	197950
linha	197900
linhas	197850
estação	197800
estações	197750
plataforma	197700
plataformas	197650
carril	197600
carris	197550
travessa	197500
travessas	197450
balastro	197400
via	197350
vias	197300
ponte	197250
pontes	197200
túnel	197150
túneis	197100
estrada	197050
estradas	197000
acesso	196950
acessos	196900
edifício	196850
edifícios	196800
cobertura	196750
coberturas	196700
parede	196650
paredes	196600
pavimento	196550
pavimentos	196500
teto	196450
tetos	196400
porta	196350
portas	196300
janela	196250
janelas	196200
desenho	196150
desenhos	196100
planta	196050
plantas	196000
cálculo	195950
cálculos	195900
dimensionamento	195850
resistência	195800
esforço	195750
esforços	195700
momento	195650
momentos	195600
carga	195550
cargas	195500
apoio	195450
apoios	195400
pilar	195350
pilares	195300
viga	195250
vigas	195200
laje	195150
lajes	195100
armadura	195050
armaduras	195000
sapata	194950
sapatas	194900
estaca	194850
estacas	194800
contenção	194750
contenções	194700
estabilidade	194650
segurança	194600
qualidade	194550
material	194500
materiais	194450
equipamento	194400
equipamentos	194350
ferramenta	194300
ferramentas	194250
avaria	194200
avarias	194150
orçamento	194100
orçamentos	194050
preço	194000
preços	193950
custo	193900
custos	193850
valor	193800
valores	193750
documento	193700
documentos	193650
ficheiro	193600
ficheiros	193550
assinatura	193500
digital	193450
aplicação	193400
aplicações	193350
teclado	193300
teclados	193250
dicionário	193200
dicionários	193150
correção	193100
corretor	193050
palavra	193000
palavras	192950
frase	192900
frases	192850
texto	192800
textos	192750
idioma	192700
idiomas	192650
português	192600
inglesa	192550
inglês	192500
italiana	192450
italiano	192400
espanhola	192350
espanhol	192300
francesa	192250
francês	192200
alemã	192150
alemão	192100
hoje	192050
amanhã	192000
ontem	191950
manhã	191900
tarde	191850
noite	191800
semana	191750
mês	191700
ano	191650
reunião	191600
mensagem	191550
mensagens	191500
enviar	191450
receber	191400
verificar	191350
corrigir	191300
melhorar	191250
guardar	191200
abrir	191150
fechar	191100
editar	191050
selecionar	191000
escolher	190950
ativar	190900
desativar	190850
rápido	190800
rápida	190750
responsivo	190700
responsiva	190650
eficiente	190600
eficiência	190550
inteligente	190500
automático	190450
automática	190400
pessoal	190350
privado	190300
privada	190250
técnico	190200
técnica	190150
engenharia	190100
civil	190050
arquitetura	190000
elétrica	189950
hidráulica	189900
canalização	189850
esgoto	189800
sanitário	189750
cozinha	189700
família	189650
escola	189600
estudo	189550
exame	189500
teste	189450
professor	189400
aluno	189350
empresa	189300
cliente	189250
fornecedor	189200
contrato	189150
fatura	189100
pagamento	189050
conta	189000
banco	188950
telefone	188900
telemóvel	188850
computador	188800
tablet	188750
internet	188700
correio	188650
email	188600
endereço	188550
data	188500
hora	188450
minuto	188400
segundo	188350
primeiro	188300
segunda	188250
terceiro	188200
quarta	188150
quinta	188100
sexta	188050
sábado	188000
domingo	187950
janeiro	187900
fevereiro	187850
março	187800
abril	187750
maio	187700
junho	187650
julho	187600
agosto	187550
setembro	187500
outubro	187450
novembro	187400
dezembro	187350
norte	187300
sul	187250
este	187200
oeste	187150
esquerda	187100
direita	187050
cima	187000
baixo	186950
dentro	186900
fora	186850
grande	186800
pequeno	186750
maior	186700
menor	186650
melhor	186600
pior	186550
novo	186500
nova	186450
antigo	186400
antiga	186350
correto	186300
correta	186250
errado	186200
errada	186150
importante	186100
urgente	186050
disponível	186000
possível	185950
necessário	185900
necessária	185850
obrigado	185800
obrigada	185750
favor	185700
porfavor	185650
olá	185600
bom	185550
boa	185500
dia	185450
senhor	185400
senhora	185350
engenheiro	185300
engenheira	185250
agradeço	185200
envio	185150
anexo	185100
anexos	185050
segue	185000
seguem	184950
conforme	184900
relativamente	184850
assunto	184800
informação	184750
informações	184700
situação	184650
estado	184600
estados	184550
concluir	184500
concluído	184450
